ISO,Year,suicideRateTotal,suicideRateMale,suicideRateFemale,unemploymentPTotal,unemploymentPMale,unemploymentPFemale,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,WineConsumption,SpiritsConsumption,BeerConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,incomeLevel,GrossNationalIncome
AE,2019,5.24,6.29,2.63,2.28,1.42,6.33,2523.38,2310.22,0.00,25.97,11.1427,43103.32,2.03,0.14,1.65,0.21,0,1.649,0.765,0.360,4.370,3,43470
AF,2019,5.96,6.19,5.67,10.98,10.19,13.81,0,0,0,0,0,469.92,0.01,0.00,0.01,0.00,54.50,0.231,0.296,0,0.098,0,530
AG,2019,0.32,0.00,0.60,0,0,0,0,0,0,0,0,17112.82,11.88,3.95,4.55,2.97,0,1.001,0,4.003,7.005,3,16160
AL,2019,3.72,5.27,2.22,11.47,11.58,11.31,261.82,214.91,0.22,33.17,18.1659,5303.20,4.40,1.15,1.43,1.75,14.30,1.471,1.231,1.060,6.876,2,5220
AM,2019,2.66,4.92,1.02,18.81,17.65,20.27,209.79,178.57,0.15,29.88,14.9867,4622.73,3.77,0.46,2.78,0.52,26.40,3.840,0.788,0.274,11.245,2,4680
AO,2019,12.55,21.71,4.68,6.93,6.63,7.22,92.69,57.83,36.73,51.27,47.7890,2670.85,5.84,0.72,1.27,3.78,32.30,0.057,0.179,0.022,0.660,1,2970
AR,2019,8.14,13.48,3.31,9.84,9.19,10.70,560.04,419.17,0.50,42.90,34.0228,10041.46,7.95,2.88,0.72,3.62,35.50,21.705,222.572,0,0,2,11130
AT,2019,10.40,16.56,4.64,4.49,4.61,4.35,1744.60,1517.16,0.94,30.85,19.0678,49700.76,11.90,3.70,1.90,6.30,13.30,0,0,0,0,3,51440
AU,2019,11.25,16.97,5.58,5.16,5.21,5.11,1777.45,1423.08,1.71,34.40,22.6976,54763.20,9.51,3.67,1.32,3.71,0,13.525,103.036,0,90.582,3,55100
AZ,2019,3.97,6.61,1.48,4.84,4.01,5.73,321.08,266.26,0.00,26.55,11.6495,4781.95,1.38,0.06,0.94,0.36,6.00,3.452,1.165,0.114,6.717,2,4490
BA,2019,8.25,13.48,3.41,15.69,13.62,18.73,594.32,493.79,0.03,33.03,18.3984,6108.56,5.46,0.47,0.62,4.19,16.90,8.032,1.527,0.594,22.144,2,6180
BB,2019,0.31,0.49,0.16,10.10,9.87,10.35,0,0,0,0,0,18148.96,9.94,1.36,4.75,3.66,0,0,0,0,63.332,3,17380
BD,2019,3.85,6.02,1.66,4.22,3.20,6.55,118.26,94.60,3.13,32.39,17.1839,1846.42,0.00,0.00,0.00,0.00,24.30,0.130,0.124,0,0.873,1,1940
BE,2019,13.93,19.55,8.41,5.36,5.73,4.93,1528.27,1373.82,0.09,27.21,13.2384,46198.31,9.15,3.41,1.09,4.35,14.80,20.057,10.462,17.435,125.692,3,48010
BF,2019,14.38,24.45,6.50,4.62,4.69,4.54,83.53,62.39,14.02,35.30,20.1511,786.90,7.28,0.08,0.31,1.00,41.40,0.039,0.022,0.011,0.635,0,780
BG,2019,6.50,10.57,2.86,4.23,4.54,3.87,722.32,533.65,0.33,41.28,30.7675,9703.49,11.18,1.72,4.96,4.44,0,7.203,1.867,0.780,17.736,2,9570
BH,2019,7.20,9.86,2.27,1.56,0.75,4.76,0,0,0,0,0,23503.98,1.18,0.11,0.66,0.40,0,5.467,1.239,1.458,27.918,3,22170
BI,2019,12.12,18.91,6.35,1.42,1.90,0.98,53.37,39.63,46.27,38.62,24.6737,260.38,4.07,0.00,0.00,1.84,64.90,0.010,0.490,0.069,0.049,0,280
