ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
AG,2019,0.32,NA,NA,NA,NA,NA,NA,17112.82,11.88,NA,1.001,NA,4.003,7.005,16160,NA,NA,NA,NA,NA,NA,NA
AR,2019,8.14,9.84,560.04,419.17,0.50,42.90,34.0228,10041.46,7.95,35.50,21.705,222.572,NA,NA,11130,NA,NA,NA,NA,NA,35.50,6.09
BB,2019,0.31,10.10,NA,NA,NA,NA,NA,18148.96,9.94,NA,NA,NA,NA,63.332,17380,NA,NA,NA,NA,NA,NA,NA
BO,2019,6.82,3.46,415.75,311.56,1.39,41.65,31.4388,3552.07,2.98,37.20,1.128,NA,NA,NA,3520,NA,NA,NA,NA,NA,37.20,5.67
BR,2019,6.41,11.93,639.96,387.83,2.19,53.43,54.6065,8755.27,6.12,NA,3.165,12.368,6.608,34.948,9270,NA,NA,NA,NA,NA,NA,6.45
BS,2019,3.37,10.11,NA,NA,NA,NA,NA,34863.74,9.48,NA,NA,NA,NA,NA,31990,NA,NA,NA,NA,NA,NA,NA
BZ,2019,7.65,6.46,270.44,160.57,9.21,53.26,55.8219,4815.17,5.93,NA,1.392,1.113,NA,3.340,4700,NA,NA,NA,NA,NA,NA,NA
CA,2019,10.34,5.66,1836.90,1554.40,0.10,33.31,19.8897,46550.34,8.00,NA,14.679,48.740,145.400,68.659,46460,NA,NA,NA,NA,NA,NA,7.11
CL,2019,8.04,7.29,775.39,524.47,0.12,44.44,34.2641,14896.45,7.80,8.60,6.970,NA,NA,1.880,14990,NA,NA,NA,NA,NA,8.60,5.94
CO,2019,3.74,9.96,434.50,268.80,2.45,51.34,51.4326,6432.39,4.09,35.70,1.835,NA,NA,0.000,6580,NA,NA,NA,NA,NA,35.70,6.35
CR,2019,7.62,11.49,703.57,447.34,0.45,48.19,41.6605,12238.38,3.07,21.00,3.931,142.018,76.957,5.699,12070,NA,NA,NA,NA,NA,21.00,7.00
CU,2019,10.19,1.67,NA,NA,NA,NA,NA,9295.90,4.70,NA,9.056,31.061,1.335,8.899,NA,NA,NA,NA,NA,NA,NA,NA
DO,2019,5.11,6.36,496.61,355.88,0.13,41.92,30.1702,8282.12,5.56,21.00,2.280,7.598,0.294,NA,8100,NA,NA,NA,NA,NA,21.00,6.00
EC,2019,7.68,3.81,413.09,286.81,1.47,45.71,37.3621,6183.82,3.05,25.00,0.458,7.662,0.019,0.056,6100,NA,NA,NA,NA,NA,25.00,5.81
GD,2019,0.64,NA,NA,NA,NA,NA,NA,10817.73,8.62,NA,1.872,NA,2.808,0.936,9830,NA,NA,NA,NA,NA,NA,NA
GT,2019,6.23,2.36,258.62,169.74,3.53,48.28,41.2092,4363.14,1.63,59.30,0.492,46.147,0.006,1.071,4610,NA,NA,NA,NA,NA,59.30,6.26
GY,2019,40.85,13.91,227.46,164.30,14.23,45.12,43.7319,6609.59,5.11,NA,0.911,0.000,NA,NA,6630,NA,NA,NA,NA,NA,NA,NA
HN,2019,2.58,5.57,251.48,172.08,7.10,48.17,43.8644,2574.91,2.73,48.30,0.658,0.625,0.234,NA,2390,NA,NA,NA,NA,NA,48.30,5.93
HT,2019,11.17,13.48,105.70,51.66,53.75,60.79,76.2411,714.83,2.85,58.50,0.075,0.560,0.373,0.233,1330,NA,NA,NA,NA,NA,58.50,NA
JM,2019,2.28,7.72,369.14,241.63,0.45,45.46,34.8624,5369.49,3.46,19.90,1.149,0.383,0.453,10.272,5260,NA,NA,NA,NA,NA,19.90,NA
LC,2019,6.85,15.59,578.87,376.60,3.21,51.23,53.8709,11611.42,9.30,NA,0.564,NA,0.564,50.788,NA,NA,NA,NA,NA,NA,NA,NA
