ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
AU,2019,11.25,5.16,1777.45,1423.08,1.71,34.40,22.6976,54763.20,9.51,NA,13.525,103.036,NA,90.582,55100,NA,NA,NA,NA,NA,NA,7.23
FJ,2019,9.51,4.11,271.79,205.07,0.09,36.70,22.0968,6185.10,2.71,29.90,0.224,0.560,0.560,1.457,5800,NA,NA,NA,NA,NA,29.90,NA
FM,2019,28.99,NA,154.86,117.78,8.68,40.06,29.1303,3640.42,1.59,41.20,NA,NA,NA,NA,3400,NA,NA,NA,NA,NA,41.20,NA
KI,2019,30.56,NA,154.89,124.10,4.35,36.97,23.3689,1656.94,0.43,21.80,NA,NA,0.890,2.669,3340,NA,NA,NA,NA,NA,21.80,NA
NZ,2019,10.30,4.07,NA,NA,NA,NA,NA,43229.34,9.17,NA,28.540,NA,NA,75.132,42450,NA,NA,NA,NA,NA,NA,7.21
PG,2019,3.57,2.37,96.88,73.08,22.03,41.85,30.7324,2845.19,1.26,39.90,NA,NA,NA,NA,2750,NA,NA,NA,NA,NA,39.90,NA
SB,2019,17.37,0.60,112.33,86.63,8.74,37.05,22.9350,1944.82,1.19,12.70,NA,NA,NA,NA,2370,NA,NA,NA,NA,NA,12.70,NA
TO,2019,4.37,3.01,306.44,231.85,0.21,37.59,23.3546,4865.49,0.31,22.50,2.821,1.880,NA,16.923,5000,NA,NA,NA,NA,NA,22.50,NA
VU,2019,20.96,1.69,148.48,114.99,4.16,37.63,23.7265,3023.41,1.60,12.70,0.378,0.756,0.378,4.535,3360,NA,NA,NA,NA,NA,12.70,NA
WS,2019,14.60,8.22,284.84,211.49,0.17,38.73,24.8557,4285.49,2.18,20.30,1.548,NA,1.548,1.548,4200,NA,NA,NA,NA,NA,20.30,NA
